experience_coding,python_user,r_user,sql_user,most_used,compensation,position
6.1,True,False,True,Scikit-learn,124267,Junior
12.3,True,True,True,Scikit-learn,236889,Intermediate
2.2,True,False,False,,74321,Beginner
2.7,False,False,True,,62593,Beginner
1.2,True,False,False,Scikit-learn,36288,Beginner
1.0,True,False,False,PyTorch,61302,Beginner
1.8,False,False,False,,68984,Beginner
6.1,True,False,False,TensorFlow,18858,Junior
4.5,True,False,True,Scikit-learn,55418,Beginner
1.1,True,False,True,TensorFlow,614,Beginner
2.7,True,True,True,,70564,Beginner
0.93,True,True,False,Scikit-learn,55525,Beginner
0.32,True,False,False,,61005,Beginner
9.9,True,False,True,Scikit-learn,2846,Junior
0.78,True,False,False,TensorFlow,21,Beginner
13.5,True,False,False,Scikit-learn,14699,Intermediate
26.5,True,False,True,Scikit-learn,2110,Expert
1.5,True,False,True,Scikit-learn,620,Beginner
3.4,True,False,True,PyTorch,73527,Beginner
0.6,False,False,False,,6992,Beginner
0.95,True,False,False,,22311,Beginner
4.6,True,True,True,Scikit-learn,1377,Beginner
2.8,False,True,False,,69174,Beginner
28.2,True,False,True,Scikit-learn,117636,Expert
1.4,True,True,True,TensorFlow,65937,Beginner
4.8,True,False,False,Scikit-learn,27856,Beginner
0.37,True,True,False,Scikit-learn,903,Beginner
4.5,True,False,False,TensorFlow,50501,Beginner
4.4,True,False,False,Scikit-learn,482,Beginner
0.69,True,False,False,,70407,Beginner
1.5,True,False,False,,8690,Beginner
9.6,True,True,True,,114648,Junior
0.31,False,True,False,,73454,Beginner
3.5,True,False,False,,8075,Beginner
1.0,True,False,False,,59151,Beginner
0.2,True,True,True,,70112,Beginner
0.39,True,False,True,,70183,Beginner
5.0,True,False,False,,64502,Beginner
4.0,True,False,True,,2521,Beginner
0.47,True,False,False,Scikit-learn,63616,Beginner
8.1,True,False,True,Scikit-learn,59849,Junior
1.8,True,False,False,,31516,Beginner
17.1,True,False,True,TensorFlow,18582,Senior
1.4,True,False,False,Keras,4187,Beginner
1.3,True,False,False,,64405,Beginner
3.1,True,False,False,Keras,114807,Beginner
0.26,True,False,True,Scikit-learn,632,Beginner
2.1,True,True,False,Scikit-learn,61157,Beginner
4.4,True,False,True,Keras,1194,Beginner
5.2,True,True,False,Scikit-learn,28955,Beginner
0.7,True,True,True,TensorFlow,56553,Beginner
0.69,False,False,False,,75177,Beginner
1.3,False,True,True,,28009,Beginner
1.5,True,False,True,Scikit-learn,67074,Beginner
2.2,False,False,True,,50059,Beginner
6.3,False,False,False,TensorFlow,7624,Junior
2.9,True,False,False,,74321,Beginner
1.2,True,True,False,,671,Beginner
1.5,True,False,True,TensorFlow,837,Beginner
1.8,True,False,True,Scikit-learn,2011,Beginner
0.91,False,False,False,Scikit-learn,62937,Beginner
4.5,True,False,False,,685,Beginner
1.6,True,False,True,Scikit-learn,41615,Beginner
0.27,True,False,False,,52572,Beginner
2.6,True,False,False,Scikit-learn,51856,Beginner
1.7,True,False,False,Keras,411,Beginner
0.74,True,False,False,,152,Beginner
2.7,True,False,False,TensorFlow,8181,Beginner
0.99,True,True,False,Keras,2708,Beginner
24.8,True,False,False,Scikit-learn,55041,Expert
0.32,True,True,True,Scikit-learn,68412,Beginner
3.5,False,False,True,TensorFlow,6141,Beginner
5.7,False,False,True,,3979,Beginner
22.0,True,False,False,Keras,3760,Expert
9.9,True,False,False,Keras,57465,Junior
3.9,True,False,False,Keras,3864,Beginner
20.5,True,False,False,,488487,Senior
0.81,True,False,False,Scikit-learn,24393,Beginner
9.8,True,False,False,TensorFlow,68624,Junior
1.5,True,False,True,,70796,Beginner
12.3,True,True,True,Scikit-learn,236889,Intermediate
6.6,True,False,True,PyTorch,57861,Junior
2.1,True,False,False,,21055,Beginner
2.5,True,False,False,Keras,59167,Beginner
0.0,False,False,False,,55882,Beginner
1.7,False,False,False,,73802,Beginner
5.3,True,False,True,Scikit-learn,21206,Beginner
1.4,True,False,True,Scikit-learn,79803,Beginner
1.5,True,False,True,,73043,Beginner
28.2,True,False,True,PyTorch,268191,Expert
0.97,True,False,True,Scikit-learn,14298,Beginner
1.1,True,False,True,Scikit-learn,68805,Beginner
7.0,True,False,False,TensorFlow,56003,Junior
1.0,True,False,True,,73664,Beginner
0.71,True,False,True,Scikit-learn,434,Beginner
9.3,True,True,False,Keras,52109,Junior
1.7,True,False,False,PyTorch,10284,Beginner
20.5,True,False,False,Keras,43906,Senior
0.75,True,False,False,,67971,Beginner
0.98,True,False,True,,58465,Beginner
0.8,False,True,False,,64488,Beginner
1.3,True,False,False,,7709,Beginner
0.36,True,False,False,Keras,1957,Beginner
1.2,True,False,True,Scikit-learn,4131,Beginner
8.6,True,False,False,Scikit-learn,26022,Junior
18.4,True,False,True,,29926,Senior
2.7,False,False,True,,62593,Beginner
24.3,True,True,True,,109543,Expert
0.94,True,False,True,,107644,Beginner
1.4,False,True,True,,1047,Beginner
3.3,True,False,False,,59909,Beginner
0.93,True,False,False,,68344,Beginner
2.3,True,False,False,TensorFlow,54427,Beginner
0.59,False,False,False,,70930,Beginner
1.2,True,False,False,,50835,Beginner
8.5,True,True,True,Keras,14151,Junior
3.3,False,True,False,,11681,Beginner
21.1,True,False,True,,71808,Expert
1.2,False,False,False,,70991,Beginner
12.2,True,True,True,Scikit-learn,31626,Intermediate
3.8,False,False,False,TensorFlow,52416,Beginner
4.3,True,False,False,Keras,288146,Beginner
13.1,True,False,True,TensorFlow,65143,Intermediate
24.3,True,False,False,PyTorch,34866,Expert
1.6,True,True,False,Keras,186,Beginner
2.9,True,False,False,Scikit-learn,60065,Beginner
9.4,True,False,False,,40336,Junior
7.7,True,False,False,Scikit-learn,115654,Junior
0.3,True,False,True,,431,Beginner
9.0,True,True,False,TensorFlow,59814,Junior
4.2,True,False,True,TensorFlow,45413,Beginner
1.9,False,False,False,,4196,Beginner
8.3,True,False,False,,55751,Junior
0.21,True,False,False,Scikit-learn,61912,Beginner
18.8,True,False,False,,49478,Senior
9.3,False,False,True,Scikit-learn,29139,Junior
1.8,True,False,False,Keras,67272,Beginner
2.8,True,False,False,TensorFlow,70264,Beginner
2.4,True,False,True,Scikit-learn,264,Beginner
15.3,True,True,True,Keras,14853,Intermediate
3.9,True,False,False,Scikit-learn,55482,Beginner
0.3,True,False,False,Scikit-learn,26,Beginner
0.8,False,False,True,,250,Beginner
0.79,True,True,False,Scikit-learn,66025,Beginner
11.1,True,False,True,,55906,Intermediate
0.24,True,False,False,,63754,Beginner
19.7,True,False,True,TensorFlow,86855,Senior
8.5,True,False,False,Keras,63242,Junior
0.26,True,False,True,,70448,Beginner
0.75,True,False,False,Scikit-learn,68964,Beginner
24.4,True,False,True,Scikit-learn,111583,Expert
6.8,True,False,False,Keras,52350,Junior
4.4,True,False,True,,58574,Beginner
3.2,True,True,True,Scikit-learn,330,Beginner
0.84,True,False,True,,64478,Beginner
16.0,True,True,False,Scikit-learn,94273,Senior
4.9,True,False,True,TensorFlow,62142,Beginner
8.3,True,False,True,Keras,5857,Junior
6.6,True,False,False,Scikit-learn,194518,Junior
4.0,True,False,False,,60873,Beginner
23.9,True,False,True,,55584,Expert
27.0,False,False,False,PyTorch,949,Expert
0.91,True,False,False,,27748,Beginner
2.2,True,False,True,,239,Beginner
13.9,False,False,True,,120047,Intermediate
3.4,True,False,False,,332,Beginner
1.4,True,True,True,Scikit-learn,51428,Beginner
6.6,True,False,True,Scikit-learn,256063,Junior
2.6,True,False,True,Scikit-learn,50783,Beginner
8.5,True,True,True,Keras,109423,Junior
28.2,True,False,True,Scikit-learn,85525,Expert
2.7,True,False,False,Scikit-learn,226,Beginner
8.6,True,False,False,Scikit-learn,13056,Junior
2.9,True,False,False,Scikit-learn,8015,Beginner
2.6,True,False,True,Scikit-learn,450,Beginner
7.5,False,False,True,,55219,Junior
1.3,True,False,False,Scikit-learn,348,Beginner
16.2,True,False,False,,53685,Senior
2.7,True,False,False,TensorFlow,59456,Beginner
1.8,True,False,False,Scikit-learn,62821,Beginner
7.1,True,False,False,PyTorch,13478,Junior
1.9,True,False,False,,59666,Beginner
0.41,True,True,True,Scikit-learn,57673,Beginner
2.3,True,True,False,Scikit-learn,29472,Beginner
11.8,True,True,True,PyTorch,276659,Intermediate
4.0,True,False,True,Scikit-learn,5119,Beginner
5.4,True,False,True,Scikit-learn,27631,Beginner
3.8,False,False,False,,282,Beginner
5.7,True,False,False,Scikit-learn,34238,Beginner
0.0,False,False,False,,106203,Beginner
